# word	score	pos
置位	13.1519	n
线性回归	13.1513	n
健康档案	13.1505	n
腿部空间	13.1500	n
慕斯	13.1497	n
栈溢出	13.1491	n
本地文件	13.1491	n
物联网	13.1480	n
系统进程	13.1439	n
删除文件	13.1425	n
Android开发	13.1423	n
儿童福利院	13.1412	ns
限制民事行为能力人	13.1403	n
子线程	13.1396	n
源动力	13.1389	n
数据库操作	13.1384	n
类函数	13.1372	n

# reviewed NexaloidData candidates batch 4
缓存策略	13.1366	n
深拷贝	13.1349	n
点集	13.1347	n
诉讼保全	13.1342	n
电子制动力分配系统	13.1332	n
隔离级别	13.1311	n
时序图	13.1307	n
网络请求	13.1290	n
科学技术工业委员会	13.1288	n
挪用资金罪	13.1267	n
就绪状态	13.1256	n
文件定义	13.1233	n
造血干细胞	13.1211	n
非常可乐	13.1182	n
Web服务器	13.1157	n
编写代码	13.1108	n
直接插入排序	13.1102	n
香蕉船	13.1085	n
对象类型	13.1080	n
浅拷贝	13.1061	n
创建数据库	13.1056	n
数据块	13.1055	n
翘尾因素	13.1044	n
收回土地使用权	13.1042	n
无民事行为能力人	13.1040	n
座椅靠背	13.1035	n
web应用	13.1021	n
伊兰特悦动	13.1018	n
锅边	13.1009	n
后风挡	13.1003	n
创建文件	13.1002	n
背景颜色	13.0983	n
出栈	13.0980	n
食品工业协会	13.0975	n
星城	13.0972	ns
多行注释	13.0966	n
卡赛	13.0964	n
数组排序	13.0961	n
突发事件应对法	13.0959	n
三得利	13.0957	n
玩车	13.0946	n
缺陷产品	13.0944	n
诉讼参与人	13.0924	n
读入数据	13.0922	n
矩阵乘法	13.0920	n
内存区域	13.0917	n
单选按钮	13.0913	n
自底向上	13.0913	n
前序遍历	13.0902	n
进气格栅	13.0891	n
执行顺序	13.0883	n
垂直居中	13.0867	n
社交网络	13.0867	n
皮蛋瘦肉粥	13.0865	n
广告发布者	13.0841	n
数据加密	13.0832	n
类文件	13.0832	n
写入文件	13.0820	n
金威啤酒	13.0810	n
数据目录	13.0790	n
数据采集	13.0781	n
共享文件	13.0765	n
新经济	13.0763	n
支持向量机	13.0754	n
保存数据	13.0753	n
Web应用	13.0749	n
数据帧	13.0748	n
软连接	13.0745	n
平等自愿	13.0730	n
Java程序	13.0728	n
批处理文件	13.0727	n
点火线圈	13.0725	n
函数式	13.0719	n
字符串转换	13.0715	n
经济技术开发区	13.0710	n
流量控制	13.0705	n
数据空间	13.0694	n
查询语句	13.0693	n
炒房	13.0692	n
单行注释	13.0687	n
党员权利	13.0676	n
刑事附带民事诉讼	13.0676	n
保险责任范围	13.0671	n
日内瓦公约	13.0671	n
投资银行家	13.0665	n
网盘	13.0642	n
实时更新	13.0635	n
web服务器	13.0624	n
国家质量技术监督局	13.0611	n
用例	13.0602	n
荣氏	13.0583	n
反渎职侵权	13.0570	n
执行刑	13.0570	n
默认大小	13.0563	n
失职行为	13.0556	n
白肚	13.0552	n
字符串长度	13.0532	n
失能	13.0531	n
经济犯罪案件	13.0531	n
持续集成	13.0527	n
堆内存	13.0510	n
运行方式	13.0495	n
下级法院	13.0490	n
进程管理	13.0460	n
16进制	13.0450	n
表结构	13.0450	n
非静态	13.0445	n
set方法	13.0437	n
米茶	13.0424	n
敏捷开发	13.0421	n
房地产中介机构	13.0403	n
金融办	13.0403	n
代码示例	13.0392	n
保存图片	13.0382	n
占道经营	13.0380	n
运算符重载	13.0370	n
输入设备	13.0359	n
面向过程	13.0352	n
写数据	13.0350	n
安全模式	13.0345	n
实际开发	13.0343	n
残疾赔偿金	13.0340	n
算术运算符	13.0333	n
判决生效	13.0332	n
数据封装	13.0308	n
拉条	13.0305	n
转义符	13.0301	n
协议无效	13.0298	n
委托开发	13.0291	n
城乡规划法	13.0289	n
发动机转速	13.0289	n
二站	13.0283	ns
标签名	13.0280	n
执行和解	13.0240	n
回调方法	13.0232	n
市法院	13.0228	ns
自然语言处理	13.0226	n
金桥	13.0217	n
空壳公司	13.0214	n
语音识别	13.0214	n
转面	13.0205	n
业主权	13.0191	n
莜面	13.0188	n
诺丽	13.0184	n
并发处理	13.0176	n
装饰模式	13.0162	n
Linux内核	13.0159	n
城阳	13.0158	ns
代码片段	13.0158	n
产销衔接	13.0153	n
葱段	13.0150	n
烤地瓜	13.0122	n
一汽奥迪	13.0117	n
生成树	13.0117	n
函数实现	13.0106	n
参数说明	13.0096	n
抽象基类	13.0094	n
甜汤	13.0089	n
基本属性	13.0086	n
数学函数	13.0082	n
家庭联产承包责任制	13.0074	n
创建表	13.0070	n
一般用户	13.0043	n
深度优先搜索	13.0041	n
年审	13.0029	n
进程调度	13.0024	n
广播地址	13.0022	n
甜茶	13.0022	n
映射关系	12.9992	n
只读属性	12.9983	n
主观恶性	12.9976	n
专利信息	12.9967	n
显示图像	12.9933	n
斐波那契数列	12.9930	n
邮件服务器	12.9928	n
风险承担	12.9911	n
圆镜	12.9904	n
互斥量	12.9901	n
非法占地	12.9899	n
法人委托书	12.9879	n
记忆化搜索	12.9877	n
外国专家局	12.9875	n
缓冲池	12.9865	n
珠江啤酒	12.9860	n
平衡二叉树	12.9848	n
占用资金	12.9839	n
引用计数	12.9825	n
国有独资商业银行	12.9823	n
合作社法	12.9821	n
汤类	12.9814	n
对象创建	12.9806	n
进程状态	12.9779	n
辩护与代理	12.9774	n
城市规划法	12.9772	n
共享数据	12.9772	n
部分车型	12.9769	n
贪心算法	12.9767	n
外部存储	12.9760	n
下载文件	12.9757	n
酸汤鱼	12.9755	n
执行状态	12.9752	n
响应式	12.9745	n
文件地址	12.9725	n
权利要求书	12.9723	n
广州酒家	12.9720	n
文件拷贝	12.9712	n
while循环	12.9704	n
国家干预	12.9678	n
删除行	12.9676	n
改款车	12.9664	n
基本命令	12.9651	n
黄山毛峰	12.9646	n
多数据	12.9643	n
爱尔兰咖啡	12.9643	n
物理设备	12.9638	n
文件处理	12.9631	n
组合数	12.9621	n
空字符串	12.9608	n
企业版	12.9606	n
背包问题	12.9593	n
法学博士学位	12.9583	n
加密解密	12.9558	n
中国银监会	12.9553	n
狗不理包子	12.9553	n
猫耳朵	12.9546	n
传播途径	12.9541	n
编译原理	12.9541	n
Java类	12.9541	n
白灼	12.9533	n
肉罐头	12.9531	n
动态类型	12.9526	n
法院强制执行	12.9517	n
指定管辖	12.9508	n
政府采购	12.9503	n
数据保存	12.9490	n
罚没收入	12.9478	n
社会主义公有制	12.9457	n
监控系统	12.9452	n
嘉吉	12.9447	n
调度算法	12.9445	n
糖炒栗子	12.9440	n
副主任科员	12.9437	n
谭鱼头	12.9424	n
后台运行	12.9423	n
劳动用工	12.9413	n
一上班	12.9407	n
Android应用	12.9406	n
扰乱公共秩序	12.9394	n
播放音乐	12.9378	n
泛型类	12.9373	n
指定目录	12.9368	n
动态库	12.9363	n
南美白对虾	12.9353	n
与国际惯例接轨	12.9350	n
关系运算符	12.9343	n
事件循环	12.9335	n
子图	12.9317	n
文本编辑器	12.9311	n
录音制品	12.9307	n
下级人民法院	12.9299	n
计算机语言	12.9289	n
用户空间	12.9273	n
亚星客车	12.9270	n
功能需求	12.9270	n
劳动争议调解仲裁法	12.9270	n
自动完成	12.9266	n
程序违法	12.9260	n
内置对象	12.9258	n
大众中国	12.9250	n
自增	12.9239	n
百度云	12.9224	n
消防中队	12.9201	ns
花根	12.9200	n
金酒	12.9174	n
字符编码	12.9174	n
外部程序	12.9159	n
文件上传	12.9158	n
文件复制	12.9144	n
侵犯商标权	12.9140	n
函数声明	12.9118	n
立法宗旨	12.9104	n
数据迁移	12.9088	n
金种子	12.9072	n
手动输入	12.9069	n
长丰猎豹	12.9067	n
设备名	12.9054	n
初始化列表	12.9051	n
linux系统	12.9049	n
背书转让	12.9048	n
车载电脑	12.9040	n
TCP连接	12.9033	n
司法工作人员	12.9030	n
算法分析	12.9022	n
生命体征	12.9017	n
司法体制改革	12.9017	n
头部空间	12.9006	n
农产品市场	12.8990	ns
网络传输	12.8983	n
交通事故损害赔偿	12.8977	n
心肺复苏	12.8971	n

# reviewed NexaloidData candidates batch 5
建设工程合同	12.8969	n
输入输出流	12.8963	n
新功能	12.8950	n
蒸馏酒	12.8945	n
并发控制	12.8937	n
虚构事实	12.8934	n
删除数据	12.8928	n
向上转型	12.8907	n
现场勘验	12.8902	n
窃电	12.8898	n
逻辑地址	12.8889	n
建筑业协会	12.8867	n
取值范围	12.8840	n
文件操作	12.8839	n
移动终端	12.8832	n
锦芳	12.8832	n
新爱丽舍	12.8828	n
创建线程	12.8821	n
集成测试	12.8819	n
专利申请权	12.8816	n
浓缩果汁	12.8813	n
条件编译	12.8808	n
油气资源	12.8808	ns
灰度图像	12.8791	n
米糖	12.8781	n
高新区管委会	12.8781	ns
损失函数	12.8778	n
被告住所地	12.8767	n
第三方库	12.8764	n
股票交易印花税	12.8748	n
国家统一司法考试	12.8732	n
刀狼	12.8726	n
求余	12.8723	n
上下文菜单	12.8713	n
自定义异常	12.8702	n
股票回购	12.8693	n
西湖醋	12.8688	n
Java虚拟机	12.8669	n
玫瑰果	12.8663	n
2D	12.8657	n
入室盗窃	12.8654	n
增删改查	12.8654	n
查看源代码	12.8644	n
委托物	12.8630	n
中国法制史	12.8625	n
汽车营销	12.8623	n
推荐系统	12.8622	n
陶然居	12.8619	n
系统权限	12.8597	n
内存溢出	12.8596	n
执业医师法	12.8592	n
系统参数	12.8592	n
披露文件	12.8578	n
事件源	12.8569	n
西湖醋鱼	12.8567	n
删除元素	12.8561	n
面向接口编程	12.8550	n
进程名	12.8547	n
综合防治	12.8542	n
指针变量	12.8540	n
分布式数据库	12.8522	n
请求参数	12.8521	n
连带责任保证	12.8520	n
辅助函数	12.8517	n
企业级应用	12.8505	n
软中断	12.8500	n
数据操作	12.8499	n
UI线程	12.8494	n
公钥加密	12.8489	n
时钟周期	12.8486	n
泛型类型	12.8480	n
c语言	12.8478	n
用户认证	12.8461	n
运行时错误	12.8461	n
源码下载	12.8459	n
音频流	12.8452	n
启动服务	12.8424	n
华夏二手车	12.8423	n
国家新闻出版署	12.8419	n
调度程序	12.8419	n
被调用者	12.8416	n
main方法	12.8410	n
滑动窗口	12.8407	n
判决执行	12.8399	n
远程控制	12.8396	n
烤羊腿	12.8390	n
本地地址	12.8371	n
钢铁产业发展	12.8357	n
假冒商品	12.8340	n
宫保鸡丁	12.8331	n
窗口句柄	12.8325	n
座椅加热	12.8314	n
包管理器	12.8305	n
数组长度	12.8291	n
国际刑事法院	12.8277	n
扩展方法	12.8271	n
县委办	12.8263	ns
服务器集群	12.8263	n
存储方式	12.8257	n
农村土地承包法	12.8243	n
位取反	12.8234	n
生蚝	12.8212	n
绝对地址	12.8194	n
发明专利权	12.8185	n
鱼火锅	12.8185	n
热酒	12.8171	n
数据库管理	12.8168	n
旅游法	12.8168	n
灌汤包	12.8168	n
项目开发	12.8164	n
iOS开发	12.8161	n
香飘飘	12.8148	n
争用	12.8145	n
新嘉年华	12.8127	n
字节数组	12.8119	n
米豆腐	12.8113	n
编译参数	12.8101	n
事务回滚	12.8098	n
递归调用	12.8084	n
添加数据	12.8080	n
生效时间	12.8075	n
线程同步	12.8071	n
类模板	12.8064	n
红烧牛肉	12.8064	n
编译过程	12.8058	n
代码规范	12.8052	n
依赖管理	12.8043	n
物业服务企业	12.8034	n
用户代理	12.8026	n
一级缓存	12.8014	n
保险保障基金	12.8005	n
侧边栏	12.7999	n
密钥对	12.7996	n
收案	12.7993	n
共同债务	12.7976	n
农产品质量安全法	12.7958	n
确诊病例	12.7948	n
配置参数	12.7939	n
农民专业合作社法	12.7937	n
显示设备	12.7931	n
贩卖毒品罪	12.7926	n
数据获取	12.7914	n
递推公式	12.7914	n
形成权	12.7902	n
数据库应用	12.7899	n
高危	12.7889	n
守护进程	12.7883	n
执行监督	12.7878	n
夫妻肺片	12.7875	n
DP	12.7874	n
if语句	12.7874	n
医疗事故处理条例	12.7872	n
编码格式	12.7872	n
芋泥	12.7869	n
叫化鸡	12.7863	n
数据冗余	12.7860	n
饼图	12.7860	n
命名管道	12.7857	n
啤酒鱼	12.7845	n
重大责任事故罪	12.7842	n
工作队列	12.7839	n
老婆饼	12.7839	n
枚举类型	12.7829	n
软件开发过程	12.7828	n
公共航空运输企业	12.7826	n
基础类	12.7816	n
经开区	12.7813	ns
国土资源局	12.7810	ns
拆箱	12.7807	n
失血性休克	12.7804	n
电子科技大学	12.7789	ns
父进程	12.7787	n
ASCII码	12.7781	n
荞面	12.7765	n
强制执行措施	12.7759	n
远程过程调用	12.7756	n
高桥	12.7756	ns
管制刀具	12.7753	n
手足口病	12.7732	n
jar文件	12.7732	n
村民委员会组织法	12.7729	n
债务承担	12.7719	n
自动布局	12.7713	n
共享锁	12.7686	n
状态转移	12.7682	n
殴打他人	12.7662	n
F5	12.7657	n
状态码	12.7654	n
字符输入	12.7650	n
样本集	12.7650	n
动态加载	12.7638	n
数据可视化	12.7635	n
紫米	12.7632	n
模板方法	12.7616	n
危害公共安全罪	12.7580	n
经济合同法	12.7577	n
系统库	12.7574	n
使用场景	12.7571	n
农村土地承包	12.7569	n
并行化	12.7564	n
情感障碍	12.7561	n
获批	12.7552	n
进出口经营权	12.7549	n
接待中心	12.7546	ns
对象池	12.7537	n
五定	12.7531	n
非对称加密	12.7521	n
价格放开	12.7509	n
文件保存	12.7501	n
骨质疏松	12.7500	n
终止程序	12.7487	n
命令行参数	12.7474	n
新奥德赛	12.7466	n
圣女果	12.7450	n
有效时间	12.7450	n
配置环境变量	12.7450	n
方法参数	12.7443	n
帮助文档	12.7433	n
肋骨骨折	12.7432	n
静态库	12.7431	n
消息发送	12.7422	n
非婚生子女	12.7419	n
开发效率	12.7405	n
字符串数组	12.7394	n
显示模式	12.7391	n
上市公司收购	12.7377	n
皮下出血	12.7366	n
区委常委	12.7366	ns
文件包含	12.7363	n
盗刷	12.7360	n
广度优先搜索	12.7357	n
天和	12.7351	ns
程序出错	12.7351	n
请求数据	12.7348	n
肺部感染	12.7344	n
复仇女神	12.7338	n
路径和	12.7333	n
医疗改革	12.7321	n
蘑菇汤	12.7319	n
排序算法	12.7319	n
烟草总公司	12.7285	n
由拥有	12.7275	n
程序错误	12.7275	n
实时系统	12.7272	n
炒肉丝	12.7266	n
手拉葫芦	12.7250	n
有奖征集活动	12.7244	n
数据接口	12.7237	n
进程控制	12.7221	n
